43,98,247
43,100,248
42,101,247
43,102,248
42,103,247
42,105,248
41,106,247
41,108,247
40,108,247
40,110,247
39,111,247
39,113,247
38,114,247
38,116,247
37,116,247
37,118,247
37,119,247
37,121,247
36,121,247
36,123,247
35,124,247
35,126,247
34,127,246
34,128,247
33,129,246
33,131,247
32,132,246
32,134,247
31,135,246
32,137,247
30,137,246
31,139,247
30,140,246
30,142,247
29,142,246
29,144,247
28,145,246
28,147,247
27,148,246
27,149,246
26,150,246
26,152,246
25,153,246
25,155,246
25,156,246
25,157,246
24,158,246
24,160,246
23,161,246
23,163,246
22,163,246
22,165,246
21,166,246
21,168,246
20,169,245
20,170,246
20,171,245
20,173,246
19,174,245
19,176,246
18,177,245
18,178,246
17,179,245
17,181,246
16,182,245
16,184,246
15,184,245
15,186,246
14,187,245
15,189,246
13,190,245
14,191,245
13,192,245
13,194,245
12,195,245
12,197,245
11,198,245
11,198,243
11,198,241
11,199,241
10,198,239
11,199,239
10,198,238
11,199,237
10,198,236
10,199,235
10,199,234
10,199,233
10,199,232
10,199,230
9,199,228
10,199,228
9,199,226
10,200,226
9,199,224
10,200,224
9,199,223
10,200,222
9,199,221
9,200,220
9,199,219
9,200,219
9,199,217
9,200,217
9,200,215
8,200,213
9,200,213
8,200,211
9,200,211
8,200,210
8,200,209
8,200,208
8,201,207
8,200,206
8,201,205
8,200,204
8,201,204
7,200,202
8,201,202
7,201,200
8,201,200
7,200,198
7,201,198
7,201,197
7,201,196
7,201,195
7,201,194
7,201,193
7,201,192
6,201,191
7,201,190
6,201,189
7,202,189
6,201,187
7,202,187
6,201,185
6,202,185
6,201,183
6,202,183
6,202,182
6,202,181
5,202,180
6,202,179
5,202,178
6,202,177
5,202,176
6,202,175
5,202,174
6,203,174
5,202,172
5,203,172
5,202,170
5,203,170
5,202,168
5,203,168
5,202,167
5,203,166
4,202,165
5,203,164
4,203,163
5,203,162
4,203,161
4,203,160
4,203,159
5,203,158
6,201,155
8,201,154
10,200,151
12,200,150
12,198,147
14,198,146
16,197,143
18,197,142
19,196,139
21,195,138
22,194,135
24,194,134
25,193,131
27,192,129
28,191,127
30,191,125
31,190,123
33,189,121
34,188,119
36,188,117
37,187,115
39,186,113
40,185,111
42,185,109
43,184,107
45,183,105
46,182,103
48,182,101
49,181,98
51,180,97
52,179,94
54,179,93
55,178,90
57,177,89
58,176,86
60,176,85
61,175,82
63,174,81
64,173,78
66,173,77
67,172,74
69,171,73
70,170,70
72,170,69
73,169,66
75,168,64
77,167,62
79,167,60
79,166,58
81,166,56
83,164,54
85,164,52
86,163,50
88,163,48
89,161,46
91,161,44
92,160,42
94,160,40
95,159,39
97,158,38
99,157,37
101,157,37
103,156,36
105,156,36
107,155,35
109,154,35
111,153,34
113,153,34
114,152,32
117,152,32
118,151,31
121,151,31
122,149,30
124,149,30
126,148,29
128,148,29
130,147,28
132,147,28
134,146,27
136,146,27
137,144,25
140,144,25
141,143,24
144,143,24
145,142,23
148,142,23
149,141,22
152,140,22
153,139,21
155,139,21
157,138,20
159,138,19
161,137,18
163,136,18
165,135,17
167,135,17
168,134,16
171,134,16
172,133,15
175,133,15
176,132,13
179,131,13
180,130,12
183,130,12
184,129,11
186,129,11
188,128,10
190,128,10
192,126,9
194,126,9
196,125,8
198,125,8
199,124,6
202,124,6
203,123,5
206,123,5
207,121,4
209,121,4
211,120,3
213,120,3
215,119,2
217,119,2
219,118,1
221,117,0
220,116,0
218,115,0
216,113,0
215,112,0
214,112,0
213,111,0
212,110,0
211,109,0
209,108,0
208,106,0
207,106,0
206,105,0
205,105,0
204,104,0
204,103,0
202,102,0
200,101,0
198,99,0
197,98,0
196,98,0
195,97,0
194,96,0
193,95,0
191,94,0
190,92,0
189,92,0
188,91,0
187,91,0
186,90,0
186,89,0
184,88,0
182,87,0
180,85,0
179,84,0
178,84,0
177,83,0
176,82,0
175,81,0
173,80,0
172,78,0
171,78,0
170,77,0
169,77,0
168,76,0
168,75,0
166,74,0
164,73,0
162,71,0
161,70,0
160,70,0
159,69,0
159,68,0
157,67,0
155,66,0
154,64,0
